id,product_affiliate_id,product_code,product_status,product_site_name,product_site_estoque,product_site_ean,product_site_fabricacao,product_site_description,product_site_categories,product_site_tags,product_site_variations,product_site_info,product_site_nutrition,product_site_value,product_site_discount_value,product_site_discount_type,product_sell_by_weight,product_average_weight_value,product_average_weight_type,product_site_related_title,product_site_related_type,product_site_related_code,createdAt,updatedAt
2180,99,67,inactive,"FORMA 4 PET BC C/50UN-PACK",193,,TERCEIRO,NULL,"FESTA,DECORACAO / ACESSORIOS,DECORACAO / ACESSORIOS",NULL,NULL,NULL,NULL,2.29,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2181,99,68,inactive,"PASSA CERA PLASTICO C/RODO-VASSOURAS EMBU",15,7898912692184,TERCEIRO,NULL,"HIGIENE E LIMPEZA,UTENSILIOS DE LIMPEZA,UTENSILIOS DE LIMPEZA",NULL,NULL,NULL,NULL,10.39,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2182,99,69,inactive,"ALCOOL ETILICO HIDRATADO 70§ 500ML-REFRIKO",6,7898942055157,TERCEIRO,NULL,"HIGIENE E LIMPEZA,PRODUTOS DE LIMPEZA,PRODUTOS DE LIMPEZA",NULL,NULL,NULL,NULL,6.49,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2183,99,70,inactive,"BALA BUTTER TOFFEES LEITE CONDENSADO C/600GR-ARCOR",0,7891118015481,TERCEIRO,NULL,"ALIMENTICIOS,DOCES,DOCES",NULL,NULL,NULL,NULL,14.49,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2184,99,71,inactive,"SACOLA CRISTAL 35X45CM-KG",106,,PRÓPRIA,NULL,"EMBALAGENS,SACOS E SACOLAS PLASTICAS,SACOS E SACOLAS PLASTICAS",NULL,NULL,NULL,NULL,18.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,KG,NULL,NULL,NULL,NULL,NULL
2185,99,72,inactive,"PRATO P/BOLO MINNIE CORACAO C/08UN-REGINA",0,7891175184762,TERCEIRO,NULL,"FESTA,TEMAS,MINNIE",NULL,NULL,NULL,NULL,27.79,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2186,99,73,inactive,"GA13 LEVA DOCE QUADRADO CRISTAL C/100UN-GALVANOTEK",2.4,7897511732147,TERCEIRO,NULL,"EMBALAGENS,PLASTICAS,PLASTICAS",NULL,NULL,NULL,NULL,92.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,CX,NULL,NULL,NULL,NULL,NULL
2187,99,75,inactive,"FORMA 4 PETALAS FESTA NA CAIXA C/50UN-PACKAGING WORKS",-50,,TERCEIRO,NULL,"FESTA,DECORACAO / ACESSORIOS,DECORACAO / ACESSORIOS",NULL,NULL,NULL,NULL,2.29,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2188,99,76,inactive,"FOLHA CHUMBO 8X7,8CM ASTRAL VERMELHO/OURO C/300UN-CROMUS",0,7909107945937,TERCEIRO,NULL,"CONFEITARIA,UTENSILIOS DE CONFEITARIA,UTENSILIOS DE CONFEITARIA",NULL,NULL,NULL,NULL,11.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PC,NULL,NULL,NULL,NULL,NULL
2189,99,77,inactive,"PRATO TABULEIRO LAMINADO N.07 C/100UN-NIAGARA",0,,TERCEIRO,NULL,"FESTA,DECORACAO / ACESSORIOS,DECORACAO / ACESSORIOS",NULL,NULL,NULL,NULL,189.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,FD,NULL,NULL,NULL,NULL,NULL
